Seton Hall ,.6380,106.1,101.0,+.012,.6904
South Dakota St. ,.6367,105.0,100.0,-.010,.4036
Pepperdine ,.6341,99.1,94.5,+.009,.5752
Iona ,.6315,110.5,105.4,+.052,.4429
Marquette ,.6236,101.6,97.2,-.043,.7079
UC Irvine ,.6232,103.5,99.1,-.025,.5289
Kent St. ,.6223,105.5,101.0,+.056,.4899
Boston College ,.6200,105.8,101.4,-.035,.6687
Eastern Kentucky ,.6176,104.2,99.9,-.037,.4134
Vermont ,.6172,100.6,96.5,-.135,.3337
St. Bonaventure ,.6164,102.4,98.3,+.019,.5376
California ,.6095,101.6,97.8,+.061,.6384
Oregon St. ,.6087,97.0,93.3,+.014,.6016
Northeastern ,.6037,106.1,102.3,+.037,.4666
Utah St. ,.6029,105.8,102.0,-.022,.4893
Wyoming ,.6026,101.4,97.8,+.067,.4315
Northwestern ,.6016,106.1,102.3,+.009,.6606
Hofstra ,.5977,109.0,105.3,-.100,.3888
Washington ,.5972,106.6,103.0,-.002,.5922
Portland ,.5935,107.3,103.8,-.026,.5729
Hawaii ,.5929,103.2,99.8,-.010,.4398
Wake Forest ,.5850,104.1,101.0,-.025,.6811
North Florida ,.5832,105.8,102.7,-.007,.3662
Eastern Michigan ,.5828,100.5,97.7,+.022,.5034
Albany ,.5768,105.1,102.3,+.050,.3508
Stony Brook ,.5762,100.6,98.0,+.054,.4034
William & Mary ,.5755,111.5,108.6,-.009,.4918
Nebraska ,.5716,96.6,94.2,-.018,.6718
Evansville ,.5708,102.4,99.9,+.017,.5037
Massachusetts ,.5681,103.9,101.4,+.069,.6371
High Point ,.5611,106.3,104.1,+.118,.4272
Middle Tennessee ,.5607,100.1,98.0,-.002,.4870
Louisiana Lafayette ,.5606,103.2,101.1,-.056,.4155
Western Kentucky ,.5582,103.4,101.3,+.058,.4823
UAB ,.5582,103.6,101.5,-.010,.5016
Long Beach St. ,.5578,100.9,98.8,+.031,.6622
Western Michigan ,.5558,106.3,104.2,+.044,.5229
